ispit,crosscul,egy_fe_fam_ll,egy_fe_fam_OR,egy_fe_fam_RR,egy_fe_unfam_LL,egy_fe_unfam_OR,egy_fe_unfam_RR,egy_m_fam_ll,egy_m_fam_OR,egy_m_fam_RR,egy_m_unfam_LL,egy_m_unfam_OR,egy_m_unfam_RR,srb_fe_fam_LL,srb_fe_fam_OR,srb_fe_fam_RR,srb_fe_unfam_LL,srb_fe_unfam_OR,srb_fe_unfam_RR,srb_m_fam_LL,srb_m_fam_OR,srb_m_fam_RR,srb_m_unfam_LL,srb_m_unfam_OR,srb_m_unfam_RR
1,egy,2.5,3.833333333,2.666666667,3.5,2.833333333,2.333333333,2.833333333,2.166666667,2.666666667,2.833333333,3.833333333,3,2.666666667,4.333333333,2.166666667,3.5,3.5,2.833333333,3.166666667,2.833333333,3.5,2.166666667,2.666666667,3
2,egy,4,4,4.5,3.666666667,3.833333333,4,3.5,3.666666667,3.5,3.333333333,3.666666667,4,3.5,4,3.833333333,4.166666667,3.833333333,4.166666667,3.833333333,4,3.833333333,3.666666667,4.5,3.666666667
3,egy,3.666666667,3.833333333,3.333333333,3.833333333,3.5,3.666666667,3.666666667,3.166666667,3.166666667,3.666666667,3,3.5,3.166666667,3.333333333,3.666666667,4.5,3.5,3.5,4.666666667,2.666666667,3.666666667,3.666666667,3.333333333,3.666666667
4,egy,3.333333333,3.333333333,3.666666667,4.5,4.333333333,3.666666667,3.5,3.5,3.333333333,3.166666667,3.333333333,3.5,4,4,3.666666667,3.833333333,4,3.833333333,3.5,3.333333333,3.166666667,3.333333333,3.833333333,3.166666667
5,egy,3.833333333,3.833333333,3.666666667,3.333333333,4.666666667,3.5,3.333333333,3.666666667,3.5,3.666666667,3.166666667,3.666666667,3.833333333,4,3.666666667,3.5,4.666666667,3.666666667,3.333333333,3.166666667,3.333333333,3.333333333,3.333333333,3.5
6,egy,3.5,4,3.5,3.166666667,4.333333333,4,3.833333333,3.833333333,3.833333333,3.833333333,3.833333333,3.833333333,3,3.5,3.5,3.333333333,3.666666667,3.333333333,4.166666667,3.833333333,3.833333333,3,3.666666667,4
7,egy,3,3,4,3.5,4,3.833333333,4.333333333,3.333333333,3.666666667,2.666666667,3.333333333,3.333333333,2.833333333,3.166666667,3.333333333,3.833333333,3.5,2.833333333,3.333333333,3.333333333,4.166666667,3,3.166666667,3.5
8,egy,2.5,3,2.333333333,2.333333333,2.333333333,2.666666667,2.333333333,2.5,2.166666667,2.833333333,2.666666667,2.666666667,3.166666667,2.833333333,2.666666667,3.333333333,2.666666667,2.833333333,2.166666667,2.666666667,2,2.333333333,2.5,2.5
9,egy,3.333333333,4,4,4,4,4.5,4,3.666666667,3,3.5,3.833333333,4,3.833333333,3.666666667,4.166666667,4.5,3.666666667,4,3.5,3.5,3.333333333,3.666666667,3.666666667,3.666666667
10,egy,4.333333333,3.333333333,4,4.166666667,4.5,4.166666667,4.166666667,3.333333333,4.5,4,3,3.666666667,3.666666667,3.5,4,3.833333333,3.666666667,4,4.166666667,4.166666667,4.166666667,3.333333333,4,3.833333333
11,egy,3.666666667,3.5,3.833333333,4,4,3.666666667,4,3.333333333,4.166666667,3.666666667,3.166666667,3,3.833333333,3.5,3.166666667,3.833333333,4.333333333,3.833333333,4.166666667,3.5,4.166666667,3.833333333,4,4.166666667
